天津电信-组播1,#group#
廊坊生活频道,http://106.116.127.5:4022/rtp/239.254.200.184:6000
保定新闻综合,http://106.116.127.5:4022/rtp/239.254.200.144:6000
保定公共频道,http://106.116.127.5:4022/rtp/239.254.200.145:6000
保定生活健康,http://106.116.127.5:4022/rtp/239.254.200.146:6000
衡水新闻综合,http://106.116.127.5:4022/rtp/239.254.200.147:6000
衡水经济科教,http://106.116.127.5:4022/rtp/239.254.200.149:6000
邢台综合频道,http://106.116.127.5:4022/rtp/239.254.200.150:6000
邢台城市生活,http://106.116.127.5:4022/rtp/239.254.200.152:6000
邯郸新闻综合,http://106.116.127.5:4022/rtp/239.254.200.153:6000
邯郸公共频道,http://106.116.127.5:4022/rtp/239.254.200.154:6000
邯郸科技教育,http://106.116.127.5:4022/rtp/239.254.200.155:6000
湖南卫视,http://106.116.127.5:4022/rtp/239.254.200.48:8012
浙江卫视,http://106.116.127.5:4022/rtp/239.254.200.53:8036
江苏卫视,http://106.116.127.5:4022/rtp/239.254.200.51:8028
安徽卫视,http://106.116.127.5:4022/rtp/239.254.200.163:6000
东南卫视,http://106.116.127.5:4022/rtp/239.254.201.13:6291
北京卫视,http://106.116.127.5:4022/rtp/239.254.200.47:8024
天津卫视,http://106.116.127.5:4022/rtp/239.254.200.54:1234
辽宁卫视,http://106.116.127.5:4022/rtp/239.254.200.57:8056
山东卫视,http://106.116.127.5:4022/rtp/239.254.200.55:8052
河南卫视,http://106.116.127.5:4022/rtp/239.254.201.16:7174
黑龙江卫视,http://106.116.127.5:4022/rtp/239.254.200.49:8016
四川卫视,http://106.116.127.5:4022/rtp/239.254.200.202:6325
江西卫视,http://106.116.127.5:4022/rtp/239.254.201.12:6290
贵州卫视,http://106.116.127.5:4022/rtp/239.254.201.20:6315
深圳卫视,http://106.116.127.5:4022/rtp/239.254.200.50:8020
湖北卫视,http://106.116.127.5:4022/rtp/239.254.200.164:6000
东方卫视,http://106.116.127.5:4022/rtp/239.254.200.52:8032
重庆卫视,http://106.116.127.5:4022/rtp/239.254.200.203:6323
广东卫视,http://106.116.127.5:4022/rtp/239.254.200.56:8048
广西卫视,http://106.116.127.5:4022/rtp/239.254.200.80:8300
海南卫视,http://106.116.127.5:4022/rtp/239.254.201.125:6288
吉林卫视,http://106.116.127.5:4022/rtp/239.254.201.15:6339
陕西卫视,http://106.116.127.5:4022/rtp/239.254.200.82:8140
山西卫视,http://106.116.127.5:4022/rtp/239.254.200.83:8172
云南卫视,http://106.116.127.5:4022/rtp/239.254.200.68:8108
内蒙古卫视,http://106.116.127.5:4022/rtp/239.254.200.84:8176
青海卫视,http://106.116.127.5:4022/rtp/239.254.200.85:8184
宁夏卫视,http://106.116.127.5:4022/rtp/239.254.200.87:8124
西藏卫视,http://106.116.127.5:4022/rtp/239.254.200.88:8164
新疆卫视,http://106.116.127.5:4022/rtp/239.254.200.89:8160
