其他频道,#genre#
陕西生活,http://219.145.19.216:54321/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://113.140.69.126:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
靓妆,http://123.182.211.98:8088/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://49.87.154.246:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://113.236.17.224:9901/tsfile/live/1122_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://123.189.36.241:9901/tsfile/live/1122_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://59.62.8.250:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江,http://113.236.17.224:9901/tsfile/live/1145_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江,http://123.189.36.241:9901/tsfile/live/1145_1.m3u8?key=txiptv&playlive=1&authid=0
2024-02-22更新,#genre#
